Timestamp	Speed (kmph)	Throttle	Steering	Brake	Gear	ImageName
93683464	0	0.000000	0.000000	0.000000	N	img_0.png
93689595	0	0.000000	0.000000	0.000000	N	img_1.png
93689624	0	0.000000	-0.035522	0.000000	N	img_2.png
93689624	0	0.000000	-0.035522	0.000000	N	img_3.png
93689624	0	0.000000	-0.035522	0.000000	N	img_4.png
93689624	0	0.000000	-0.035522	0.000000	N	img_5.png
93689624	0	0.000000	-0.035522	0.000000	N	img_6.png
93689624	0	0.000000	-0.035522	0.000000	N	img_7.png
93689624	0	0.000000	-0.035522	0.000000	N	img_8.png
93689956	0	0.000000	-0.039510	0.000000	N	img_9.png
93689956	0	0.000000	-0.039510	0.000000	N	img_10.png
93689956	0	0.000000	-0.039510	0.000000	N	img_11.png
93689956	0	0.000000	-0.039510	0.000000	N	img_12.png
93689956	0	0.000000	-0.039510	0.000000	N	img_13.png
93689956	0	0.000000	-0.039510	0.000000	N	img_14.png
93690288	0	0.000000	-0.039510	0.000000	N	img_15.png
93690288	0	0.000000	-0.039510	0.000000	N	img_16.png
93690288	0	0.000000	-0.039510	0.000000	N	img_17.png
93690288	0	0.000000	-0.039510	0.000000	N	img_18.png
93690288	0	0.000000	-0.039510	0.000000	N	img_19.png
93690288	0	0.000000	-0.039510	0.000000	N	img_20.png
93690288	0	0.000000	-0.039510	0.000000	N	img_21.png
93690648	0	0.000000	-0.039510	0.000000	N	img_22.png
93690696	0	0.000000	-0.039510	0.000000	N	img_23.png
93690743	0	0.000000	-0.039510	0.000000	N	img_24.png
93690792	0	0.000000	-0.039510	0.000000	N	img_25.png
93690864	0	0.000000	-0.039510	0.000000	N	img_26.png
93690912	0	0.000000	-0.039510	0.000000	N	img_27.png
93690960	0	0.000000	-0.039510	0.000000	N	img_28.png
93691008	0	0.000000	-0.039510	0.000000	N	img_29.png
93691056	0	0.000000	-0.039510	0.000000	N	img_30.png
93691108	0	0.000000	-0.043457	0.000000	N	img_31.png
93691156	0	0.000000	-0.047404	0.000000	N	img_32.png
93691204	0	0.000000	-0.051392	0.000000	N	img_33.png
93691252	0	0.000000	-0.051392	0.000000	N	img_34.png
93691299	0	0.000000	-0.051392	0.000000	N	img_35.png
93691347	0	0.047059	-0.051392	0.000000	N	img_36.png
93691395	0	0.066667	-0.051392	0.000000	N	img_37.png
93691444	0	0.066667	-0.051392	0.000000	N	img_38.png
93691492	0	0.066667	-0.051392	0.000000	N	img_39.png
93691564	0	0.200000	-0.051392	0.000000	N	img_40.png
93691612	0	0.200000	-0.051392	0.000000	N	img_41.png
93691660	0	0.250980	-0.051392	0.000000	N	img_42.png
93691684	0	0.250980	-0.051392	0.000000	N	img_43.png
93691756	0	0.384314	-0.051392	0.000000	N	img_44.png
93691804	0	0.384314	-0.051392	0.000000	N	img_45.png
93691851	0	0.368627	-0.051392	0.000000	N	img_46.png
93691900	0	0.384314	-0.051392	0.000000	N	img_47.png
93691947	0	0.317647	-0.051392	0.000000	N	img_48.png
93691996	0	0.317647	-0.051392	0.000000	N	img_49.png
93692044	0	0.349020	-0.051392	0.000000	N	img_50.png
93692092	0	0.333333	-0.051392	0.000000	N	img_51.png
93692164	0	0.419608	-0.051392	0.000000	N	img_52.png
93692212	0	0.419608	-0.051392	0.000000	N	img_53.png
93692260	0	0.419608	-0.051392	0.000000	N	img_54.png
93692308	0	0.419608	-0.051392	0.000000	N	img_55.png
93692355	0	0.400000	-0.051392	0.000000	N	img_56.png
93692404	0	0.419608	-0.051392	0.000000	N	img_57.png
93692451	0	0.419608	-0.051392	0.000000	N	img_58.png
93692499	0	0.419608	-0.051392	0.000000	N	img_59.png
93692548	0	0.486275	-0.051392	0.000000	N	img_60.png
93692596	0	0.533333	-0.051392	0.000000	1	img_61.png
93692644	1	0.533333	-0.051392	0.000000	1	img_62.png
93692692	1	0.549020	-0.051392	0.000000	1	img_63.png
93692764	2	0.596078	-0.051392	0.000000	1	img_64.png
93692787	2	0.596078	-0.051392	0.000000	1	img_65.png
93692860	3	0.643137	-0.051392	0.000000	1	img_66.png
93692908	3	0.658824	-0.051392	0.000000	1	img_67.png
93692956	4	0.658824	-0.051392	0.000000	1	img_68.png
93693004	4	0.658824	-0.051392	0.000000	1	img_69.png
93693051	5	0.658824	-0.051392	0.000000	1	img_70.png
93693099	5	0.611765	-0.051392	0.000000	1	img_71.png
93693148	6	0.611765	-0.051392	0.000000	1	img_72.png
